timestamp_utc,unix_ms,event_type,best_yes_bid,best_yes_ask,mid_yes,spread_yes,best_no_bid,best_no_ask,mid_no,spread_no,yes_depth_3,no_depth_3
2026-05-28T02:15:30.575109+00:00,1779934530575,snapshot,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,5615.14,3615.66
2026-05-28T02:15:30.577213+00:00,1779934530577,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,5615.14,3615.66
2026-05-28T02:15:30.773113+00:00,1779934530773,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,5210.68,3615.66
2026-05-28T02:15:30.796424+00:00,1779934530796,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4710.68,3615.66
2026-05-28T02:15:30.798654+00:00,1779934530798,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4710.68,3615.66
2026-05-28T02:15:30.800887+00:00,1779934530800,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4710.68,3615.66
2026-05-28T02:15:30.801352+00:00,1779934530801,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4710.68,4115.66
2026-05-28T02:15:30.824251+00:00,1779934530824,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4710.68,4135.66
2026-05-28T02:15:30.825262+00:00,1779934530825,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4710.68,3935.66
2026-05-28T02:15:30.826283+00:00,1779934530826,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4790.68,3935.66
2026-05-28T02:15:30.827170+00:00,1779934530827,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4790.68,3735.66
2026-05-28T02:15:30.827850+00:00,1779934530827,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4790.68,3735.66
2026-05-28T02:15:30.828830+00:00,1779934530828,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4790.68,3735.66
2026-05-28T02:15:30.830210+00:00,1779934530830,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4790.68,3735.66
2026-05-28T02:15:30.830685+00:00,1779934530830,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4790.68,3735.66
2026-05-28T02:15:30.831106+00:00,1779934530831,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4790.68,3735.66
2026-05-28T02:15:30.831673+00:00,1779934530831,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4790.68,3735.66
2026-05-28T02:15:30.832353+00:00,1779934530832,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4790.68,3735.66
2026-05-28T02:15:30.832901+00:00,1779934530832,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4790.68,3555.66
2026-05-28T02:15:30.833358+00:00,1779934530833,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4289.68,3555.66
2026-05-28T02:15:30.833866+00:00,1779934530833,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4289.68,3355.66
2026-05-28T02:15:30.834332+00:00,1779934530834,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4289.68,3355.66
2026-05-28T02:15:30.834831+00:00,1779934530834,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4289.68,3355.66
2026-05-28T02:15:30.835320+00:00,1779934530835,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4278.68,3355.66
2026-05-28T02:15:30.860390+00:00,1779934530860,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4289.68,3355.66
2026-05-28T02:15:30.861405+00:00,1779934530861,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4289.68,3355.66
2026-05-28T02:15:30.862337+00:00,1779934530862,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4289.68,3395.66
2026-05-28T02:15:30.863256+00:00,1779934530863,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4289.68,3395.66
2026-05-28T02:15:30.863702+00:00,1779934530863,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4289.68,3575.66
2026-05-28T02:15:30.864168+00:00,1779934530864,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4289.68,3575.66
2026-05-28T02:15:30.864589+00:00,1779934530864,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4289.68,3575.66
2026-05-28T02:15:30.865009+00:00,1779934530865,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4289.68,3575.66
2026-05-28T02:15:30.950113+00:00,1779934530950,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4790.68,3575.66
2026-05-28T02:15:30.951432+00:00,1779934530951,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4790.68,3775.66
2026-05-28T02:15:30.952525+00:00,1779934530952,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4790.68,3975.66
2026-05-28T02:15:30.953286+00:00,1779934530953,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4790.68,3975.66
2026-05-28T02:15:30.953851+00:00,1779934530953,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4790.68,4175.66
2026-05-28T02:15:30.954293+00:00,1779934530954,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4790.68,4375.66
2026-05-28T02:15:30.954735+00:00,1779934530954,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4790.68,4375.66
2026-05-28T02:15:30.955172+00:00,1779934530955,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4790.68,4425.66
2026-05-28T02:15:30.955626+00:00,1779934530955,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4790.68,4408.47
2026-05-28T02:15:30.956078+00:00,1779934530956,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4790.68,4408.47
2026-05-28T02:15:30.956539+00:00,1779934530956,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,3790.05,4408.47
2026-05-28T02:15:30.956968+00:00,1779934530956,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4790.68,4408.47
2026-05-28T02:15:30.957394+00:00,1779934530957,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4790.68,4408.47
2026-05-28T02:15:30.957867+00:00,1779934530957,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4790.68,4408.47
2026-05-28T02:15:30.958316+00:00,1779934530958,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4615.68,4408.47
2026-05-28T02:15:30.958809+00:00,1779934530958,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4615.68,4583.47
2026-05-28T02:15:30.959310+00:00,1779934530959,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4615.68,3583.47
2026-05-28T02:15:30.959745+00:00,1779934530959,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4615.68,4583.47
2026-05-28T02:15:30.960266+00:00,1779934530960,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4615.68,4583.47
2026-05-28T02:15:30.960849+00:00,1779934530960,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4615.68,4594.47
2026-05-28T02:15:30.961723+00:00,1779934530961,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4440.68,4594.47
2026-05-28T02:15:30.962519+00:00,1779934530962,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4440.68,4594.47
2026-05-28T02:15:30.962932+00:00,1779934530962,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4440.68,4594.47
2026-05-28T02:15:30.963323+00:00,1779934530963,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4191.68,4594.47
2026-05-28T02:15:30.963826+00:00,1779934530963,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4191.68,4594.47
2026-05-28T02:15:30.964257+00:00,1779934530964,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4191.68,4594.47
2026-05-28T02:15:30.964674+00:00,1779934530964,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4191.68,4594.47
2026-05-28T02:15:30.965022+00:00,1779934530965,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4191.68,4594.47
2026-05-28T02:15:30.965399+00:00,1779934530965,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,4191.68,4594.47
2026-05-28T02:15:30.965768+00:00,1779934530965,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,3690.68,4594.47
2026-05-28T02:15:30.966190+00:00,1779934530966,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,3690.68,4594.47
2026-05-28T02:15:30.966525+00:00,1779934530966,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,3690.68,4594.47
2026-05-28T02:15:30.966914+00:00,1779934530966,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,3515.68,4594.47
2026-05-28T02:15:30.967341+00:00,1779934530967,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,3515.68,4594.47
2026-05-28T02:15:30.967745+00:00,1779934530967,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,3515.68,4594.47
2026-05-28T02:15:30.968126+00:00,1779934530968,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,3515.68,4594.47
2026-05-28T02:15:30.968469+00:00,1779934530968,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,3515.68,4594.47
2026-05-28T02:15:30.968865+00:00,1779934530968,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,3515.68,4594.47
2026-05-28T02:15:30.969271+00:00,1779934530969,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,3515.68,4599.47
2026-05-28T02:15:30.969636+00:00,1779934530969,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,2515.05,4599.47
2026-05-28T02:15:30.970008+00:00,1779934530970,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,2515.05,4599.47
2026-05-28T02:15:30.970379+00:00,1779934530970,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,2515.05,3599.47
2026-05-28T02:15:30.970731+00:00,1779934530970,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,2515.05,4599.47
2026-05-28T02:15:30.971094+00:00,1779934530971,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,2515.05,4599.47
2026-05-28T02:15:30.971435+00:00,1779934530971,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,2515.05,4599.47
2026-05-28T02:15:30.971822+00:00,1779934530971,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,2515.05,4598.47
2026-05-28T02:15:30.972159+00:00,1779934530972,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,2515.05,4598.47
2026-05-28T02:15:30.972533+00:00,1779934530972,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,2515.05,3298.47
2026-05-28T02:15:30.972909+00:00,1779934530972,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,2515.05,4598.47
2026-05-28T02:15:30.973305+00:00,1779934530973,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,1215.05,4598.47
2026-05-28T02:15:30.973662+00:00,1779934530973,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,1215.05,4598.47
2026-05-28T02:15:30.974015+00:00,1779934530974,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,1215.05,4598.47
2026-05-28T02:15:30.974359+00:00,1779934530974,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,1215.05,5098.47
2026-05-28T02:15:30.974729+00:00,1779934530974,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,715.05,5098.47
2026-05-28T02:15:30.975083+00:00,1779934530975,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,1215.05,5098.47
2026-05-28T02:15:30.975409+00:00,1779934530975,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,1215.05,5088.47
2026-05-28T02:15:30.975778+00:00,1779934530975,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,1215.05,5098.47
2026-05-28T02:15:30.976334+00:00,1779934530976,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,1215.05,3798.47
2026-05-28T02:15:30.976840+00:00,1779934530976,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,1215.05,5098.47
2026-05-28T02:15:30.977371+00:00,1779934530977,delta,0.56,0.57,0.565,0.01,0.43,0.44,0.435,0.01,1215.05,5298.47
