timestamp_utc,unix_ms,event_type,best_yes_bid,best_no_bid,best_yes_ask,best_no_ask,mid_yes,spread_yes,yes_depth_3,no_depth_3
2026-05-28T02:20:00.227871+00:00,1779934800227,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.251499+00:00,1779934800251,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.252128+00:00,1779934800252,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.279349+00:00,1779934800279,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.280160+00:00,1779934800280,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.281277+00:00,1779934800281,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.282219+00:00,1779934800282,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.282667+00:00,1779934800282,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.308975+00:00,1779934800308,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.309842+00:00,1779934800309,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.310612+00:00,1779934800310,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.311443+00:00,1779934800311,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.333904+00:00,1779934800333,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.334618+00:00,1779934800334,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.359285+00:00,1779934800359,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.360334+00:00,1779934800360,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.388139+00:00,1779934800388,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.388857+00:00,1779934800388,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.415466+00:00,1779934800415,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.453900+00:00,1779934800453,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.470873+00:00,1779934800470,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.471789+00:00,1779934800471,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.472519+00:00,1779934800472,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.473112+00:00,1779934800473,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.473666+00:00,1779934800473,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.498473+00:00,1779934800498,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.499269+00:00,1779934800499,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.499993+00:00,1779934800499,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.500451+00:00,1779934800500,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.554004+00:00,1779934800554,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.554604+00:00,1779934800554,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.555146+00:00,1779934800555,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.555612+00:00,1779934800555,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.578720+00:00,1779934800578,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.579996+00:00,1779934800579,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.580555+00:00,1779934800580,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.581075+00:00,1779934800581,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.581509+00:00,1779934800581,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.581944+00:00,1779934800581,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.582320+00:00,1779934800582,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.582747+00:00,1779934800582,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.583154+00:00,1779934800583,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.583547+00:00,1779934800583,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.583979+00:00,1779934800583,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.584356+00:00,1779934800584,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.612475+00:00,1779934800612,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.613129+00:00,1779934800613,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.645432+00:00,1779934800645,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.648090+00:00,1779934800648,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.648684+00:00,1779934800648,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.649180+00:00,1779934800649,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.649626+00:00,1779934800649,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.650056+00:00,1779934800650,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1240.53
2026-05-28T02:20:00.708198+00:00,1779934800708,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1218.65
2026-05-28T02:20:00.762214+00:00,1779934800762,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1218.65
2026-05-28T02:20:00.787184+00:00,1779934800787,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1218.65
2026-05-28T02:20:00.788040+00:00,1779934800788,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1218.65
2026-05-28T02:20:00.820524+00:00,1779934800820,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1218.65
2026-05-28T02:20:00.838175+00:00,1779934800838,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1218.65
2026-05-28T02:20:00.870076+00:00,1779934800870,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1218.65
2026-05-28T02:20:00.870909+00:00,1779934800870,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1218.65
2026-05-28T02:20:01.021995+00:00,1779934801021,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1218.65
2026-05-28T02:20:01.113809+00:00,1779934801113,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1218.65
2026-05-28T02:20:01.114869+00:00,1779934801114,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1218.65
2026-05-28T02:20:01.119374+00:00,1779934801119,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1218.65
2026-05-28T02:20:01.120819+00:00,1779934801120,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1218.65
