timestamp_utc,unix_ms,event_type,best_yes_bid,best_no_bid,best_yes_ask,best_no_ask,mid_yes,spread_yes,yes_depth_3,no_depth_3
2026-05-28T02:15:30.575109+00:00,1779934530575,snapshot,0.56,0.43,0.57,0.44,0.565,0.01,5615.14,3615.66
2026-05-28T02:15:30.577213+00:00,1779934530577,delta,0.56,0.43,0.57,0.44,0.565,0.01,5615.14,3615.66
2026-05-28T02:15:30.773113+00:00,1779934530773,delta,0.56,0.43,0.57,0.44,0.565,0.01,5210.68,3615.66
2026-05-28T02:15:30.796424+00:00,1779934530796,delta,0.56,0.43,0.57,0.44,0.565,0.01,4710.68,3615.66
2026-05-28T02:15:30.798654+00:00,1779934530798,delta,0.56,0.43,0.57,0.44,0.565,0.01,4710.68,3615.66
2026-05-28T02:15:30.800887+00:00,1779934530800,delta,0.56,0.43,0.57,0.44,0.565,0.01,4710.68,3615.66
2026-05-28T02:15:30.801352+00:00,1779934530801,delta,0.56,0.43,0.57,0.44,0.565,0.01,4710.68,4115.66
2026-05-28T02:15:30.824251+00:00,1779934530824,delta,0.56,0.43,0.57,0.44,0.565,0.01,4710.68,4135.66
2026-05-28T02:15:30.825262+00:00,1779934530825,delta,0.56,0.43,0.57,0.44,0.565,0.01,4710.68,3935.66
2026-05-28T02:15:30.826283+00:00,1779934530826,delta,0.56,0.43,0.57,0.44,0.565,0.01,4790.68,3935.66
2026-05-28T02:15:30.827170+00:00,1779934530827,delta,0.56,0.43,0.57,0.44,0.565,0.01,4790.68,3735.66
2026-05-28T02:15:30.827850+00:00,1779934530827,delta,0.56,0.43,0.57,0.44,0.565,0.01,4790.68,3735.66
2026-05-28T02:15:30.828830+00:00,1779934530828,delta,0.56,0.43,0.57,0.44,0.565,0.01,4790.68,3735.66
2026-05-28T02:15:30.830210+00:00,1779934530830,delta,0.56,0.43,0.57,0.44,0.565,0.01,4790.68,3735.66
2026-05-28T02:15:30.830685+00:00,1779934530830,delta,0.56,0.43,0.57,0.44,0.565,0.01,4790.68,3735.66
2026-05-28T02:15:30.831106+00:00,1779934530831,delta,0.56,0.43,0.57,0.44,0.565,0.01,4790.68,3735.66
2026-05-28T02:15:30.831673+00:00,1779934530831,delta,0.56,0.43,0.57,0.44,0.565,0.01,4790.68,3735.66
2026-05-28T02:15:30.832353+00:00,1779934530832,delta,0.56,0.43,0.57,0.44,0.565,0.01,4790.68,3735.66
2026-05-28T02:15:30.832901+00:00,1779934530832,delta,0.56,0.43,0.57,0.44,0.565,0.01,4790.68,3555.66
2026-05-28T02:15:30.833358+00:00,1779934530833,delta,0.56,0.43,0.57,0.44,0.565,0.01,4289.68,3555.66
2026-05-28T02:15:30.833866+00:00,1779934530833,delta,0.56,0.43,0.57,0.44,0.565,0.01,4289.68,3355.66
2026-05-28T02:15:30.834332+00:00,1779934530834,delta,0.56,0.43,0.57,0.44,0.565,0.01,4289.68,3355.66
2026-05-28T02:15:30.834831+00:00,1779934530834,delta,0.56,0.43,0.57,0.44,0.565,0.01,4289.68,3355.66
2026-05-28T02:15:30.835320+00:00,1779934530835,delta,0.56,0.43,0.57,0.44,0.565,0.01,4278.68,3355.66
2026-05-28T02:15:30.860390+00:00,1779934530860,delta,0.56,0.43,0.57,0.44,0.565,0.01,4289.68,3355.66
2026-05-28T02:15:30.861405+00:00,1779934530861,delta,0.56,0.43,0.57,0.44,0.565,0.01,4289.68,3355.66
2026-05-28T02:15:30.862337+00:00,1779934530862,delta,0.56,0.43,0.57,0.44,0.565,0.01,4289.68,3395.66
2026-05-28T02:15:30.863256+00:00,1779934530863,delta,0.56,0.43,0.57,0.44,0.565,0.01,4289.68,3395.66
2026-05-28T02:15:30.863702+00:00,1779934530863,delta,0.56,0.43,0.57,0.44,0.565,0.01,4289.68,3575.66
2026-05-28T02:15:30.864168+00:00,1779934530864,delta,0.56,0.43,0.57,0.44,0.565,0.01,4289.68,3575.66
2026-05-28T02:15:30.864589+00:00,1779934530864,delta,0.56,0.43,0.57,0.44,0.565,0.01,4289.68,3575.66
2026-05-28T02:15:30.865009+00:00,1779934530865,delta,0.56,0.43,0.57,0.44,0.565,0.01,4289.68,3575.66
2026-05-28T02:15:30.950113+00:00,1779934530950,delta,0.56,0.43,0.57,0.44,0.565,0.01,4790.68,3575.66
2026-05-28T02:15:30.951432+00:00,1779934530951,delta,0.56,0.43,0.57,0.44,0.565,0.01,4790.68,3775.66
2026-05-28T02:15:30.952525+00:00,1779934530952,delta,0.56,0.43,0.57,0.44,0.565,0.01,4790.68,3975.66
