timestamp_utc,unix_ms,event_type,best_yes_bid,best_no_bid,best_yes_ask,best_no_ask,mid_yes,spread_yes,yes_depth_3,no_depth_3
2026-05-28T02:25:00.020426+00:00,1779935100020,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.022517+00:00,1779935100022,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.024004+00:00,1779935100024,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.024486+00:00,1779935100024,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.024900+00:00,1779935100024,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.045845+00:00,1779935100045,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.046511+00:00,1779935100046,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.047090+00:00,1779935100047,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.047619+00:00,1779935100047,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.048073+00:00,1779935100048,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.048568+00:00,1779935100048,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.081000+00:00,1779935100081,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.087624+00:00,1779935100087,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.089145+00:00,1779935100089,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.090880+00:00,1779935100090,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.091470+00:00,1779935100091,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.092060+00:00,1779935100092,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.092582+00:00,1779935100092,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.093164+00:00,1779935100093,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.093619+00:00,1779935100093,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.094048+00:00,1779935100094,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.094514+00:00,1779935100094,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.094917+00:00,1779935100094,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.095317+00:00,1779935100095,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.104665+00:00,1779935100104,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.105641+00:00,1779935100105,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.106621+00:00,1779935100106,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.107144+00:00,1779935100107,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.107585+00:00,1779935100107,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.108047+00:00,1779935100108,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.108479+00:00,1779935100108,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.108946+00:00,1779935100108,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.109397+00:00,1779935100109,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.109822+00:00,1779935100109,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.131940+00:00,1779935100131,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.132666+00:00,1779935100132,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.133469+00:00,1779935100133,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.134105+00:00,1779935100134,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.162032+00:00,1779935100162,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.162679+00:00,1779935100162,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.163198+00:00,1779935100163,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.163804+00:00,1779935100163,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.164366+00:00,1779935100164,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.164903+00:00,1779935100164,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.191513+00:00,1779935100191,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.192459+00:00,1779935100192,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.193155+00:00,1779935100193,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.193672+00:00,1779935100193,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.194085+00:00,1779935100194,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.194493+00:00,1779935100194,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.194933+00:00,1779935100194,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.215612+00:00,1779935100215,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.216260+00:00,1779935100216,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.216815+00:00,1779935100216,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.217218+00:00,1779935100217,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.217617+00:00,1779935100217,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.242246+00:00,1779935100242,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.243191+00:00,1779935100243,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.244097+00:00,1779935100244,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.244796+00:00,1779935100244,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.245275+00:00,1779935100245,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.245850+00:00,1779935100245,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.246303+00:00,1779935100246,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.246744+00:00,1779935100246,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.247138+00:00,1779935100247,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.247606+00:00,1779935100247,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.248080+00:00,1779935100248,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.248521+00:00,1779935100248,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.248981+00:00,1779935100248,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.249427+00:00,1779935100249,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.249858+00:00,1779935100249,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.250219+00:00,1779935100250,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.250614+00:00,1779935100250,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.251113+00:00,1779935100251,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.251555+00:00,1779935100251,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.251939+00:00,1779935100251,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.252384+00:00,1779935100252,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.252941+00:00,1779935100252,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.253662+00:00,1779935100253,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.270047+00:00,1779935100270,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.271028+00:00,1779935100271,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.271858+00:00,1779935100271,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.272372+00:00,1779935100272,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.272832+00:00,1779935100272,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.273299+00:00,1779935100273,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.273840+00:00,1779935100273,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.296524+00:00,1779935100296,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.297203+00:00,1779935100297,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.297799+00:00,1779935100297,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.298235+00:00,1779935100298,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.298645+00:00,1779935100298,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.299063+00:00,1779935100299,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.299485+00:00,1779935100299,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.299883+00:00,1779935100299,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.300276+00:00,1779935100300,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.300656+00:00,1779935100300,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.301079+00:00,1779935100301,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.301486+00:00,1779935100301,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.301898+00:00,1779935100301,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.302345+00:00,1779935100302,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.327429+00:00,1779935100327,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.350830+00:00,1779935100350,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.351452+00:00,1779935100351,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.352022+00:00,1779935100352,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.352562+00:00,1779935100352,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.353044+00:00,1779935100353,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.353823+00:00,1779935100353,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.354695+00:00,1779935100354,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.355441+00:00,1779935100355,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.356759+00:00,1779935100356,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.357223+00:00,1779935100357,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.383432+00:00,1779935100383,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.384059+00:00,1779935100384,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.384597+00:00,1779935100384,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.385064+00:00,1779935100385,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.385497+00:00,1779935100385,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.406173+00:00,1779935100406,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.407290+00:00,1779935100407,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.408090+00:00,1779935100408,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.409506+00:00,1779935100409,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.410091+00:00,1779935100410,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.410609+00:00,1779935100410,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.411095+00:00,1779935100411,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.411631+00:00,1779935100411,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.412170+00:00,1779935100412,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.412624+00:00,1779935100412,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.413130+00:00,1779935100413,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.413655+00:00,1779935100413,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.414105+00:00,1779935100414,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.414577+00:00,1779935100414,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.415021+00:00,1779935100415,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.442267+00:00,1779935100442,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.443198+00:00,1779935100443,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.443741+00:00,1779935100443,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.444197+00:00,1779935100444,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.444613+00:00,1779935100444,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.445045+00:00,1779935100445,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.445431+00:00,1779935100445,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
2026-05-28T02:25:00.445825+00:00,1779935100445,delta,0.59,0.954,0.046,0.41,0.318,-0.544,0.0,0.0
