timestamp_utc,unix_ms,event_type,best_yes_bid,best_yes_ask,mid_yes,spread_yes,best_no_bid,best_no_ask,mid_no,spread_no,yes_depth_3,no_depth_3
2026-05-28T02:14:15.462961+00:00,1779934455462,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,868.46,3643.09
2026-05-28T02:14:15.463453+00:00,1779934455463,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,862.23,3643.09
2026-05-28T02:14:15.479220+00:00,1779934455479,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,833.37,3643.09
2026-05-28T02:14:15.480939+00:00,1779934455480,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,833.37,3643.09
2026-05-28T02:14:15.481561+00:00,1779934455481,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,833.37,3643.09
2026-05-28T02:14:15.482069+00:00,1779934455482,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,833.37,2843.09
2026-05-28T02:14:15.482539+00:00,1779934455482,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,833.37,2813.0
2026-05-28T02:14:15.483018+00:00,1779934455483,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,833.37,2754.53
2026-05-28T02:14:15.483476+00:00,1779934455483,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,833.37,2749.2
2026-05-28T02:14:15.483960+00:00,1779934455483,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,833.37,2720.2
2026-05-28T02:14:15.484438+00:00,1779934455484,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,833.37,2720.2
2026-05-28T02:14:15.484936+00:00,1779934455484,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,833.37,2720.2
2026-05-28T02:14:15.510682+00:00,1779934455510,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,864.37,2720.2
2026-05-28T02:14:15.511389+00:00,1779934455511,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,864.37,2720.2
2026-05-28T02:14:15.512006+00:00,1779934455512,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,864.37,2720.2
2026-05-28T02:14:15.533550+00:00,1779934455533,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,864.37,3520.2
2026-05-28T02:14:15.534318+00:00,1779934455534,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,864.37,3520.2
2026-05-28T02:14:15.534986+00:00,1779934455534,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,864.37,3520.2
2026-05-28T02:14:15.535911+00:00,1779934455535,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,864.37,3170.2
2026-05-28T02:14:15.538382+00:00,1779934455538,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,864.37,3520.2
2026-05-28T02:14:15.539590+00:00,1779934455539,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,864.37,3065.2
2026-05-28T02:14:15.540755+00:00,1779934455540,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,864.37,3520.2
2026-05-28T02:14:15.541366+00:00,1779934455541,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,3520.2
2026-05-28T02:14:15.541801+00:00,1779934455541,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,3520.2
2026-05-28T02:14:15.542255+00:00,1779934455542,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,3413.0
2026-05-28T02:14:15.542693+00:00,1779934455542,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,3213.0
2026-05-28T02:14:15.543112+00:00,1779934455543,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,3213.0
2026-05-28T02:14:15.543534+00:00,1779934455543,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,3213.0
2026-05-28T02:14:15.543945+00:00,1779934455543,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,3233.0
2026-05-28T02:14:15.544349+00:00,1779934455544,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,3233.0
2026-05-28T02:14:15.544797+00:00,1779934455544,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,3233.0
2026-05-28T02:14:15.545366+00:00,1779934455545,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,3031.97
2026-05-28T02:14:15.575350+00:00,1779934455575,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,3023.97
2026-05-28T02:14:15.576008+00:00,1779934455576,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,2858.97
2026-05-28T02:14:15.576587+00:00,1779934455576,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,2858.97
2026-05-28T02:14:15.577017+00:00,1779934455577,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,2858.97
2026-05-28T02:14:15.577494+00:00,1779934455577,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,2858.97
2026-05-28T02:14:15.577977+00:00,1779934455577,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,3038.97
2026-05-28T02:14:15.578389+00:00,1779934455578,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,3088.97
2026-05-28T02:14:15.578828+00:00,1779934455578,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,2490.0
2026-05-28T02:14:15.579253+00:00,1779934455579,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,2690.0
2026-05-28T02:14:15.579652+00:00,1779934455579,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,2890.0
2026-05-28T02:14:15.580051+00:00,1779934455580,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,2890.0
2026-05-28T02:14:15.580443+00:00,1779934455580,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,2890.0
2026-05-28T02:14:15.580847+00:00,1779934455580,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,3090.0
2026-05-28T02:14:15.590364+00:00,1779934455590,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,3090.0
2026-05-28T02:14:15.591144+00:00,1779934455591,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,3090.0
2026-05-28T02:14:15.591824+00:00,1779934455591,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,483.37,3090.0
2026-05-28T02:14:15.592467+00:00,1779934455592,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,483.37,1840.0
2026-05-28T02:14:15.593095+00:00,1779934455593,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,483.37,1840.0
2026-05-28T02:14:15.593528+00:00,1779934455593,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,483.37,1840.0
2026-05-28T02:14:15.593988+00:00,1779934455593,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,483.37,1830.0
2026-05-28T02:14:15.594490+00:00,1779934455594,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,483.37,1838.0
2026-05-28T02:14:15.594933+00:00,1779934455594,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,483.37,1833.0
2026-05-28T02:14:15.622489+00:00,1779934455622,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,483.37,1833.0
2026-05-28T02:14:15.623176+00:00,1779934455623,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,483.37,2633.0
2026-05-28T02:14:15.623613+00:00,1779934455623,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,483.37,2633.0
2026-05-28T02:14:15.624050+00:00,1779934455624,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,483.37,2433.0
2026-05-28T02:14:15.624436+00:00,1779934455624,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,483.37,2253.0
2026-05-28T02:14:15.624862+00:00,1779934455624,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,483.37,2253.0
2026-05-28T02:14:15.625272+00:00,1779934455625,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,483.37,2228.0
