received_at_utc,trade_time,price,volume_24h
2026-05-28T02:14:34.511563+00:00,,74224.98,6444.00924856
2026-05-28T02:14:34.643717+00:00,,74229.99,6444.00924856
2026-05-28T02:14:34.733325+00:00,,74229.99,6444.00924856
2026-05-28T02:14:34.978607+00:00,,74229.99,6444.00924856
2026-05-28T02:14:35.144064+00:00,,74228.0,6444.00924856
2026-05-28T02:14:35.480756+00:00,,74228.0,6444.00924856
2026-05-28T02:14:35.625769+00:00,,74228.35,6444.00924856
2026-05-28T02:14:35.729868+00:00,,74228.35,6444.00924856
2026-05-28T02:14:36.152924+00:00,,74228.36,6444.00924856
2026-05-28T02:14:36.228128+00:00,,74228.36,6444.00924856
2026-05-28T02:14:36.729968+00:00,,74228.36,6444.00924856
2026-05-28T02:14:36.977833+00:00,,74228.36,6444.00924856
2026-05-28T02:14:37.149749+00:00,,74230.0,6444.00924856
2026-05-28T02:14:37.232891+00:00,,74230.0,6444.00924856
2026-05-28T02:14:37.482854+00:00,,74230.0,6444.00924856
2026-05-28T02:14:38.139213+00:00,,74229.99,6444.00924856
2026-05-28T02:14:38.229724+00:00,,74229.99,6444.00924856
2026-05-28T02:14:38.731801+00:00,,74229.99,6444.00924856
2026-05-28T02:14:38.898347+00:00,,74230.48,6444.09345616
2026-05-28T02:14:39.228569+00:00,,74230.48,6444.09345616
2026-05-28T02:14:39.481701+00:00,,74230.48,6444.09345616
2026-05-28T02:14:39.738009+00:00,,74230.48,6444.09345616
2026-05-28T02:14:39.892306+00:00,,74230.49,6444.09345616
2026-05-28T02:14:39.984034+00:00,,74230.49,6444.09345616
2026-05-28T02:14:40.146187+00:00,,74227.57,6444.09345616
2026-05-28T02:14:40.242506+00:00,,74227.57,6444.09345616
2026-05-28T02:14:40.392869+00:00,,74227.68,6444.09345616
2026-05-28T02:14:40.476335+00:00,,74227.68,6444.09345616
2026-05-28T02:14:40.649741+00:00,,74227.69,6444.09345616
2026-05-28T02:14:40.729454+00:00,,74227.69,6444.09345616
2026-05-28T02:14:40.980623+00:00,,74227.69,6444.09345616
2026-05-28T02:14:41.143994+00:00,,74228.34,6444.09345616
2026-05-28T02:14:41.229977+00:00,,74228.34,6444.09345616
2026-05-28T02:14:41.386165+00:00,,74228.33,6444.09345616
2026-05-28T02:14:41.480392+00:00,,74228.33,6444.09345616
2026-05-28T02:14:41.647624+00:00,,74228.35,6444.09345616
2026-05-28T02:14:41.730676+00:00,,74228.35,6444.09345616
2026-05-28T02:14:42.230990+00:00,,74228.35,6444.09345616
2026-05-28T02:14:42.396255+00:00,,74229.28,6444.09345616
2026-05-28T02:14:42.477935+00:00,,74229.28,6444.09345616
2026-05-28T02:14:42.644536+00:00,,74227.18,6444.09345616
2026-05-28T02:14:42.729919+00:00,,74227.18,6444.09345616
2026-05-28T02:14:42.877921+00:00,,74240.7,6444.09345616
2026-05-28T02:14:43.233009+00:00,,74240.7,6444.09345616
2026-05-28T02:14:43.402423+00:00,,74229.28,6444.09345616
2026-05-28T02:14:43.752541+00:00,,74229.28,6444.09345616
2026-05-28T02:14:43.870021+00:00,,74229.29,6444.09345616
2026-05-28T02:14:43.978476+00:00,,74229.29,6444.09345616
2026-05-28T02:14:44.233494+00:00,,74229.29,6444.09345616
2026-05-28T02:14:44.477397+00:00,,74229.29,6444.09345616
2026-05-28T02:14:44.646073+00:00,,74229.28,6444.09345616
2026-05-28T02:14:44.730596+00:00,,74229.28,6444.09345616
2026-05-28T02:14:44.977709+00:00,,74229.28,6444.09345616
2026-05-28T02:14:45.128454+00:00,,74229.29,6444.09345616
2026-05-28T02:14:45.231603+00:00,,74229.29,6444.09345616
2026-05-28T02:14:45.394063+00:00,,74229.28,6444.09345616
2026-05-28T02:14:45.481947+00:00,,74229.28,6444.09345616
2026-05-28T02:14:45.729323+00:00,,74229.28,6444.09345616
2026-05-28T02:14:45.977737+00:00,,74229.28,6444.09345616
2026-05-28T02:14:46.234276+00:00,,74229.28,6444.09345616
2026-05-28T02:14:46.487968+00:00,,74229.28,6444.09345616
2026-05-28T02:14:46.733412+00:00,,74229.28,6444.09345616
2026-05-28T02:14:46.977401+00:00,,74229.28,6444.09345616
